,IT0003497168,FR0000121147,FR0000184798,FR0010411983,FR0000054470,FR0000121964,FR0010386334,FR0011950732,NL0014559478,FR0000051732,FR0013227113,FR0000130809,FR0000051807,FR0010220475,FR0000130395,FR0000044448,FR0013326246,FR0014008VX5,FR0010112524,FR0000131757,FR0013269123,FR0000121121,FR001400J770,FR0010282822,FR0011675362,FR0004056851,FR001400NLM4,FR0010908533,FR001400PVN6,FR0013154002,FR0013176526,FR0012127173,FR0012435121,FR0000035081,FR0010221234,FR0000035164,DE000KGX8881,DE000A0D6554,DE0006062144,DE000A0TGJ55,DE000PSM7770,DE000FTG1111,DE0006766504,DE0005493365,DE000KC01000,DE0005470405,DE000ZAL1111,DE000ENER6Y0,DE000A161408,DE000A0LD6E6,DE0007030009,DE0005664809,DE000LEG1110,DE0007500001,DE0008303504,DE000KSAG888,DE000A2E4K43,DE000A0WMPJ6,DE000WAF3001,DE000WCH8881,DE000A1ML7J1,DE0007664005,DE000PAH0038,DE0006095003,DE0007664039,DE000TUAG505,DE0005140008,DE000A1PHFF7,DE000A0JL9W6,DE0006599905,DE000A0D9PT0,DE0007165607,DE0006969603,DE000BASF111,DE000BAY0017,DE0005313704,DE000HAG0005,DE0006231004,DE0008232125,DE000A0DJ6J9,DE0007231326,DE0005773303,DE0006202005,DE000A161N30,DE0005089031,DE000A288904,DE0007461006,DE000NCA0001,SE0023615638,DE0006305006,DE000A1TNV91,NL0015000DX5,DE000A2NB601,DE000SHA0019,Total
2025-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.79,0.01,0.01,0.87,1.79,0.6,0.5,0.62,0.51,10.769999999999998
2025-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.79,0.01,0.01,0.87,1.79,0.6,0.5,0.62,0.51,10.769999999999998
2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,1.2,0.53,0.5,0.62,0.0,9.699999999999998
2025-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,1.7,0.53,0.5,0.52,0.0,10.099999999999998
2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,1.56,0.4,0.5,0.52,0.0,9.829999999999998
2025-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,1.41,0.4,0.5,0.0,0.0,9.159999999999998
2025-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,1.41,0.4,0.5,0.0,0.0,9.159999999999998
2025-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,1.41,0.4,0.5,0.0,0.0,9.159999999999998
2025-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,1.41,0.4,0.5,0.0,0.0,9.159999999999998
2025-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,1.21,0.4,0.5,0.0,0.0,8.959999999999999
2025-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,1.13,0.4,0.5,0.0,0.0,8.87
2025-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.01,0.39,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.0,0.0,0.16,0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,0.94,0.4,0.5,0.0,0.0,9.129999999999999
2025-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.01,0.39,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.0,0.0,0.16,0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,0.94,0.51,0.5,0.0,0.0,9.239999999999998
2025-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.01,0.39,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.0,0.0,0.16,0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,0.94,0.51,0.5,0.0,0.0,9.239999999999998
2025-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.01,0.39,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.0,0.0,0.16,0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,0.94,0.51,0.5,0.0,0.0,9.239999999999998
2025-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.4,0.0,0.0,0.46,0.0,0.01,0.39,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.0,0.0,0.16,0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.01,1.89,0.01,0.01,0.87,1.26,0.51,0.5,0.0,0.0,10.04
2025-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.6,0.0,0.4,0.0,0.0,0.46,0.0,0.01,0.39,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.0,0.0,0.16,0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.79,1.89,0.6,0.5,0.87,1.38,0.51,0.5,0.0,0.0,18.59
2025-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.6,0.0,0.4,0.0,0.0,0.46,0.0,0.01,0.39,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.0,0.0,0.16,0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.79,1.89,0.6,0.5,0.87,1.52,0.51,0.0,0.0,0.0,17.619999999999997
2025-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.6,0.0,0.4,0.0,0.0,0.46,0.0,0.01,0.39,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.0,0.0,0.16,0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.79,1.89,0.6,0.5,0.87,1.48,0.51,0.0,0.0,0.0,17.52
2025-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.4,0.0,0.0,0.46,0.0,0.01,0.39,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.0,0.0,0.16,0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.79,1.89,0.59,0.5,0.87,1.61,0.51,0.0,0.0,0.0,17.57
2025-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.4,0.0,0.0,0.46,0.0,0.01,0.39,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.0,0.0,0.16,0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.79,1.89,0.59,0.5,0.87,1.61,0.51,0.0,0.0,0.0,17.57
2025-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.4,0.0,0.0,0.46,0.0,0.01,0.39,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.0,0.0,0.16,0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.19,0.09,0.01,0.02,0.0,0.79,1.89,0.59,0.5,0.87,1.61,0.51,0.0,0.0,0.0,17.57
