,549300SHI4D0QGWI8X45,549300RHSQCH106OWF77,549300DCU7KOL83B3B08,213800RUT3C1PCHUQP60,-077-,5493007QZ05MKPON5O03,213800YQHG6V3VDDRN10,549300GHZ48Y72I6HZ24,549300EJ1ZB4YYIOMD56,54930030NRYV5EVS2N02,549300ARVD4LVNCUBN81,549300X1IL2SQS14P736,549300XXZKX7UGH6E231,MQILSVGGL6RJH5NDWP11,70DNWEAINTGFO4DMV441,TNWE6LERP1CI9IDAZB80,-066-,549300LPS48DJ96NXT15,Total,Market_capitalization
2025-05-05,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-05-04,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-05-03,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-05-02,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-05-01,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-04-30,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-04-29,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-04-28,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-04-27,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-04-26,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-04-25,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-04-24,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-04-23,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.66,1250000000.0
2025-04-22,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.72,1250000000.0
2025-04-21,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.72,1250000000.0
2025-04-20,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.72,1250000000.0
2025-04-19,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.72,1250000000.0
2025-04-18,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.72,1250000000.0
2025-04-17,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.49,0.71,0.5,4.72,1250000000.0
2025-04-16,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.5,0.71,0.5,4.73,1250000000.0
2025-04-15,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.5,0.71,0.5,4.73,1250000000.0
2025-04-14,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.5,0.71,0.5,4.73,1250000000.0
2025-04-13,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.5,0.71,0.5,4.73,1250000000.0
2025-04-12,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.5,0.71,0.5,4.73,1250000000.0
2025-04-11,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.59,0.48,0.46,0.5,0.71,0.5,4.73,1250000000.0
2025-04-10,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.59,0.48,0.46,0.5,0.71,0.5,4.67,1250000000.0
2025-04-09,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.51,0.0,0.61,0.48,0.46,0.5,0.71,0.5,4.71,1250000000.0
2025-04-08,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.47,0.0,0.61,0.48,0.46,0.5,0.71,0.5,4.67,1250000000.0
2025-04-07,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.47,0.0,0.61,0.48,0.46,0.5,0.71,0.5,4.699999999999999,1250000000.0
2025-04-06,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.47,0.0,0.5,0.48,0.46,0.5,0.71,0.0,4.09,1250000000.0
2025-04-05,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.47,0.0,0.5,0.48,0.46,0.5,0.71,0.0,4.09,1250000000.0
2025-04-04,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.47,0.0,0.5,0.48,0.46,0.5,0.71,0.0,4.09,1250000000.0
2025-04-03,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.47,0.0,0.5,0.48,0.46,0.49,0.71,0.0,4.08,1250000000.0
2025-04-02,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.47,0.0,0.5,0.48,0.46,0.49,0.71,0.0,4.08,1250000000.0
2025-04-01,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.5,0.0,0.5,0.48,0.46,0.58,0.71,0.0,4.2,1250000000.0
2025-03-31,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.49,0.0,0.5,0.48,0.46,0.58,0.71,0.0,4.1899999999999995,1250000000.0
2025-03-30,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.54,0.0,0.5,0.48,0.46,0.58,0.71,0.0,4.24,1250000000.0
2025-03-29,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.54,0.0,0.5,0.48,0.46,0.58,0.71,0.0,4.24,1250000000.0
2025-03-28,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.54,0.0,0.5,0.48,0.46,0.58,0.71,0.0,4.24,1250000000.0
2025-03-27,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.54,0.0,0.5,0.48,0.46,0.58,0.71,0.0,4.24,1250000000.0
2025-03-26,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.54,0.0,0.49,0.48,0.46,0.58,0.71,0.0,4.23,1250000000.0
2025-03-25,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.54,0.0,0.49,0.48,0.46,0.58,0.71,0.0,4.23,1250000000.0
2025-03-24,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.54,0.0,0.49,0.48,0.46,0.68,0.71,0.0,4.33,1250000000.0
2025-03-23,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.54,0.0,0.49,0.48,0.46,0.68,0.71,0.0,4.33,1250000000.0
2025-03-22,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.54,0.0,0.49,0.48,0.46,0.68,0.71,0.0,4.33,1250000000.0
